model_name,task_name,xai_name,total_coverage,coverage_class0,coverage_class1
InceptionTime,Lightning2,Lime,0.45901639344262296,0.3333333333333333,0.5405405405405406
InceptionTime,Lightning2,Occlusion,0.4918032786885246,0.375,0.5675675675675675
InceptionTime,FordA,Saliency,0.47575757575757577,0.4657933042212518,0.48657187993680884
InceptionTime,FordA,GuidedBackprop,0.49318181818181817,0.48034934497816595,0.5071090047393365
InceptionTime,FordA,InputXGradient,0.49924242424242427,0.4847161572052402,0.5150078988941548
InceptionTime,FordA,KernelShap,0.2916666666666667,0.2765647743813683,0.3080568720379147
InceptionTime,FordA,Lime,0.36742424242424243,0.35953420669577874,0.37598736176935227
InceptionTime,FordA,Occlusion,0.5,0.4861717612809316,0.5150078988941548
InceptionTime,GunPointMaleVersusFemale,Saliency,0.3512658227848101,0.28313253012048195,0.4266666666666667
InceptionTime,GunPointMaleVersusFemale,GuidedBackprop,0.4651898734177215,0.4939759036144578,0.43333333333333335
InceptionTime,GunPointMaleVersusFemale,InputXGradient,0.37658227848101267,0.3433734939759036,0.41333333333333333
InceptionTime,GunPointMaleVersusFemale,KernelShap,0.0031645569620253164,0.006024096385542169,0.0
InceptionTime,GunPointMaleVersusFemale,Lime,0.24367088607594936,0.21686746987951808,0.2733333333333333
InceptionTime,GunPointMaleVersusFemale,Occlusion,0.46835443037974683,0.45180722891566266,0.4866666666666667
InceptionTime,GunPoint,Saliency,0.5,0.4342105263157895,0.5675675675675675
InceptionTime,GunPoint,GuidedBackprop,0.49333333333333335,0.42105263157894735,0.5675675675675675
InceptionTime,GunPoint,InputXGradient,0.5,0.4342105263157895,0.5675675675675675
InceptionTime,GunPoint,KernelShap,0.15333333333333332,0.10526315789473684,0.20270270270270271
InceptionTime,GunPoint,Lime,0.21333333333333335,0.15789473684210525,0.2702702702702703
InceptionTime,GunPoint,Occlusion,0.5,0.4342105263157895,0.5675675675675675
InceptionTime,Strawberry,Saliency,0.5,0.5555555555555556,0.46808510638297873
InceptionTime,Strawberry,GuidedBackprop,0.5,0.5555555555555556,0.46808510638297873
InceptionTime,Strawberry,InputXGradient,0.5,0.5555555555555556,0.46808510638297873
InceptionTime,Strawberry,KernelShap,0.16756756756756758,0.17777777777777778,0.16170212765957448
InceptionTime,Strawberry,Lime,0.31891891891891894,0.37037037037037035,0.28936170212765955
InceptionTime,Strawberry,Occlusion,0.5,0.5555555555555556,0.46808510638297873
InceptionTime,ECG200,Saliency,0.42,0.38461538461538464,0.4426229508196721
InceptionTime,ECG200,GuidedBackprop,0.26,0.4358974358974359,0.14754098360655737
InceptionTime,ECG200,InputXGradient,0.21,0.3076923076923077,0.14754098360655737
InceptionTime,ECG200,KernelShap,0.02,0.02564102564102564,0.01639344262295082
InceptionTime,ECG200,Lime,0.25,0.3076923076923077,0.21311475409836064
InceptionTime,ECG200,Occlusion,0.47,0.41025641025641024,0.5081967213114754
InceptionTime,DistalPhalanxOutlineCorrect,Saliency,0.25,0.3614457831325301,0.20207253886010362
InceptionTime,DistalPhalanxOutlineCorrect,GuidedBackprop,0.14492753623188406,0.30120481927710846,0.07772020725388601
InceptionTime,DistalPhalanxOutlineCorrect,InputXGradient,0.3695652173913043,0.5060240963855421,0.31088082901554404
InceptionTime,DistalPhalanxOutlineCorrect,KernelShap,0.021739130434782608,0.04819277108433735,0.010362694300518135
InceptionTime,DistalPhalanxOutlineCorrect,Lime,0.09057971014492754,0.10843373493975904,0.08290155440414508
InceptionTime,DistalPhalanxOutlineCorrect,Occlusion,0.4673913043478261,0.5542168674698795,0.43005181347150256
InceptionTime,PowerCons,Saliency,0.4388888888888889,0.36666666666666664,0.5111111111111111
InceptionTime,PowerCons,GuidedBackprop,0.48333333333333334,0.45555555555555555,0.5111111111111111
InceptionTime,PowerCons,InputXGradient,0.4388888888888889,0.36666666666666664,0.5111111111111111
InceptionTime,PowerCons,KernelShap,0.05,0.0,0.1
InceptionTime,PowerCons,Lime,0.2,0.16666666666666666,0.23333333333333334
InceptionTime,PowerCons,Occlusion,0.5,0.4888888888888889,0.5111111111111111
InceptionTime,Earthquakes,Saliency,0.4892086330935252,0.408,1.2142857142857142
InceptionTime,Earthquakes,GuidedBackprop,0.4892086330935252,0.416,1.1428571428571428
InceptionTime,Earthquakes,InputXGradient,0.4892086330935252,0.408,1.2142857142857142
InceptionTime,Earthquakes,KernelShap,0.10071942446043165,0.096,0.14285714285714285
InceptionTime,Earthquakes,Lime,0.35251798561151076,0.288,0.9285714285714286
InceptionTime,Earthquakes,Occlusion,0.49640287769784175,0.416,1.2142857142857142
